University,Score,Country,League
West University of Timisoara,39.566,Romania,World League
Lodz University of Technology,39.375,Poland,World League
Cairo University,39.197,Egypt,World League
University of Bucharest,39.185,Romania,World League
University Politechica of Bucharest,39.111,Romania,World League
Metropolitan Autonomous University,39.066,Mexico,World League
Sheffield Hallam University,39.027,UK,World League
Voronezh State University,38.879,Russia,World League
Gdansk University of Technology,38.708,Poland,World League
Shenzhen University,38.556,China,World League
American University of Sharjah,38.523,United Arab Emirates,World League
Ivane Javakhishvili Tbilisi State University,38.517,Republic of Georgia,World League
University of South Africa,38.434,South Africa,World League
Zhejiang University of Technology,38.416,China,World League
"RANEPA, The Russian Presidential Academy of National Economy and Public Administration",38.370,Russia,World League
Kasetsart University,38.363,Thailand,World League
Fu Jen Catholic University,38.312,Taiwan,World League
Allameh Tabataba`i University,38.192,Iran,World League
University of Monastir,38.051,Tunisia,World League
London Metropolitan University,38.046,UK,World League
Eskisehir Osmangazi University,38.013,Turkey,World League
Prince of Songkla University,37.987,Thailand,World League
Immanuel Kant Baltic Federal University,37.973,Russia,World League
Novosibirsk State Technical University,37.769,Russia,World League
Baku State University,37.750,Azerbaijan,World League
New Economic School (NES),37.740,Russia,World League
L.N. Gumilyov Eurasian National University,37.690,Kazakhstan,World League
University of Lodz,37.650,Poland,World League
Tomsk State Pedagogical University,37.446,Russia,World League
National Chung Cheng University,37.419,Taiwan,World League
Kursk State Medical University,37.415,Russia,World League
Grigore T. Popa University of Medicine and Pharmacy,37.226,Romania,World League
Plekhanov Russian University of Economics,37.161,Russia,World League
Pontificial Catholic University of Valparaiso,37.154,Chile,World League
Kyiv National Economic University,36.979,Ukraine,World League
Khon Kaen University,36.925,Thailand,World League
Technical University of Moldova,36.917,Moldova,World League
Yildiz Technical University,36.918,Turkey,World League
Suranaree University of Technology,36.687,Thailand,World League
University of West Bohemia,36.467,Czech Republic,World League
University of Basrah,36.396,Iraq,World League
University of Patras,36.367,Greece,World League
Herzen University,36.027,Russia,World League
Yanshan University,35.971,China,World League
Vellore Institute of Technology,35.942,India,World League
Makerere University,35.575,Uganda,World League
Moscow Pedagogical State University,35.531,Russia,World League
King Mongkut`s Institute of Technology Ladkrabang,35.509,Thailand,World League
Alexandria University,35.370,Egypt,World League
University of Agricultural Sciences and Veterinary Medicine of Cluj-Napoca,35.321,Romania,World League
Kindai University,35.198,Japan,World League
Atilim University,35.195,Turkey,World League
Southwest Jiaotong University,35.179,China,World League
Kazan National Research Technical University named after A.N. Tupolev,35.157,Russia,World League
Yangzhou University,34.992,China,World League
Mustansiriyah University,34.943,Iraq,World League
Erciyes University,34.920,Turkey,World League
Tomsk State University of Control Systems and Radioelectronics (TUSUR University),34.914,Russia,World League
Innopolis University,34.790,Russia,World League
National Taipei University,34.585,Taiwan,World League
University of Science and Technology (UST),34.521,Republic of Korea,World League
Gubkin Russian State University of Oil and Gas,34.429,Russia,World League
Irkutsk State University,34.276,Russia,World League
Belgorod National Research University,34.190,Russia,World League
Qingdao University,34.179,China,World League
University of Rijeka,34.173,Croatia,World League
Kuwait University,34.137,Kuwait,World League
South China Normal University,33.984,China,World League
Moscow State University of Civil Engineering,33.979,Russia,World League
Universidad Pontificia Bolivariana de Medellin-Colombia,33.938,Colombia,World League
MIREA - Russian Technological University,33.801,Russia,World League
SDU University,33.771,Kazakhstan,World League
Ufa State Aviation Technical University,33.668,Russia,World League
Wuhan University of Science & Technology,33.639,China,World League
Asia University (Taiwan),33.570,Taiwan,World League
Shibaura Institute of Technology,33.499,Japan,World League
University of Kurdistan,33.466,Iran,World League
Russian New University,33.102,Russia,World League
University of Malaysia Perlis,32.903,Malaysia,World League
Amity University,32.785,India,World League
Liaoning University,32.618,China,World League
Universite de la Manouba,32.580,Tunisia,World League
Kharkiv National University of Radio Electronics,32.549,Ukraine,World League
National Taiwan Ocean University,32.477,Taiwan,World League
Jiangsu Normal University,32.476,China,World League
Chang`an University,32.376,China,World League
Ufa University of Science and Technology,31.936,Russia,World League
Perm State University,31.910,Russia,World League
Tver State Technical University,31.894,Russia,World League
Yuan Ze University,31.852,Taiwan,World League
Chung Yuan Christian University,31.851,Taiwan,World League
National Yunlin University of Science and Technology,31.825,Taiwan,World League
Odessa National Academy of Food Technologies,31.728,Ukraine,World League
National University of Ostroh Academy,31.586,Ukraine,World League
Autonomous University of Mexico State,31.548,Mexico,World League
Institute of Space Technology,31.528,Pakistan,World League
Marmara University,31.483,Turkey,World League
University of Kufa,31.366,Iraq,World League
Hawler Medical University,31.252,Iraq,World League
Xiangtan University,31.121,China,World League
Dublin Institute of Technology,31.063,Ireland,World League
Dunarea de Jos University of Galati,31.058,Romania,World League
Kazan National Research Technological University,30.975,Russia,World League
Salahaddin University,30.901,Iraq,World League
National Changhua University of Education,30.831,Taiwan,World League
European University at St. Petersburg,30.699,Russia,World League
South Ukrainian National Pedagogical University named after K.D. Ushynsky,30.612,Ukraine,World League
National Dong Hwa University,30.256,Taiwan,World League
Feng Chia University,30.155,Taiwan,World League
Athens University of Economics and Business,30.051,Greece,World League
Alzahra University,29.992,Iran,World League
Tyumen State University,29.947,Russia,World League
Perm National Research Polytechnic University,29.937,Russia,World League
University of Sarajevo,29.854,Bosnia And Herzegovina,World League
Saint Petersburg State University of Architecture and Civil Engineering,29.828,Russia,World League
University of Anbar,29.730,Iraq,World League
Tamkang University,29.665,Taiwan,World League
National University of Uzbekistan named after Mirzo Ulugbek,29.551,Uzbekistan,World League
Leeds Beckett University,29.520,UK,World League
Omsk State Technical University,29.427,Russia,World League
Southwest State University,29.415,Russia,World League
Mordovia State University,28.983,Russia,World League
"``George Emil Palade`` University of Medicine, Pharmacy, Science, and Technology  of Targu Mures",28.812,Romania,World League
Hunan Normal University,28.716,China,World League
Ural State University of Economics,28.447,Russia,World League
Ataturk University,28.297,Turkey,World League
"California State University, Long Beach",28.266,USA,World League
Beni-Suef University,28.257,Egypt,World League
Omsk State University,28.198,Russia,World League
Ninevah University,28.076,Iraq,World League
Reshetnev Siberian State University of Science and Technology,28.052,Russia,World League
University of AL-Qadisiyah,27.818,Iraq,World League
South Ural State University,27.538,Russia,World League
Tver State University,27.471,Russia,World League
University of South China,27.433,China,World League
Wenzhou University,27.237,China,World League
Democritus University of Thrace,27.207,Greece,World League
Volgograd State University,27.202,Russia,World League
Shanghai Maritime University,27.144,China,World League
Kosygin University,26.969,Russia,World League
Maikop State Technological University,26.918,Russia,World League
Samara State Technical University,26.522,Russia,World League
Russian Biotechnological University,26.460,Russia,World League
University of Babylon,26.219,Iraq,World League
Ostrogradskiy National University of Kremenchuk,26.138,Ukraine,World League
University of Mosul,26.092,Iraq,World League
King Mongkut`s University of Technology North Bangkok,25.924,Thailand,World League
Al-Iraqia University,25.758,Iraq,World League
Polzunov Altai State Technical University,25.440,Russia,World League
Azerbaijan State University of Economics (UNEC),25.027,Azerbaijan,World League
Tambov State Technical University,24.888,Russia,World League
Tanta University,24.826,Egypt,World League
University of Information Technology and Communications,24.715,Iraq,World League
I-Shou University,24.691,Taiwan,World League
Chung Hua University,24.688,Taiwan,World League
Kabardino-Balkarian State University,24.484,Russia,World League
University of Diyala,25.207,Iraq,World League
Technical University of Cluj-Napoca,24.464,Romania,World League
Mahasarakham University,24.359,Thailand,World League
University of Fallujah,24.289,Iraq,World League
Don State Technical University,24.207,Russia,World League
Southwest Petroleum University,24.179,China,World League
Ubon Ratchathani University,24.161,Thailand,World League
Lipetsk State Technical University,24.137,Russia,World League
Azerbaijan University of Architecture and Construction,24.066,Azerbaijan,World League
Middle Technical University,23.760,Iraq,World League
Ufa State Petroleum Technological University (USPTU),23.755,Russia,World League
Vladimir State University named after Alexander and Nikolay Stoletovs,23.739,Russia,World League
Soochow University (Taiwan),23.510,Taiwan,World League
European University Skopje,23.304,North Macedonia,World League
Chaoyang University of Technology,23.164,Taiwan,World League
Al-Ahliyya Amman University,23.042,Jordan,World League
Voronezh State Technical University,22.845,Russia,World League
University of Dubrovnik,22.682,Croatia,World League
North Caucasus Federal University,22.598,Russia,World League
Tunghai University,22.487,Taiwan,World League
Kafrelsheikh University,22.480,Egypt,World League
Tomsk State University of Architecture and Building,22.470,Russia,World League
University of Kerbala,22.449,Iraq,World League
ESIC Business and Marketing School,22.404,Spain,World League
Volgograd State Technical University,22.355,Russia,World League
National Chiayi University,21.782,Taiwan,World League
Istanbul Gelisim University,21.670,Turkey,World League
University of Thi-Qar,21.494,Iraq,World League
Istanbul Medipol University,21.479,Turkey,World League
Emperor Alexander I St.Petersburg State Transport University,20.328,Russia,World League
Ming Chuan University,20.324,Taiwan,World League
Novosibirsk State University of Economics and Management,19.885,Russia,World League
Al-Mustaqbal University,19.876,Iraq,World League
Al-Kitab University,19.664,Iraq,World League
Kemerovo State University,19.616,Russia,World League
Al-Nisour University College,19.598,Iraq,World League
NED University of Engineering and Technology,19.453,Pakistan,World League
University of Petra (UOP),19.447,Jordan,World League
Ulyanovsk State University,19.373,Russia,World League
Poltava National Technical Yuri Kondratyuk University,18.860,Ukraine,World League
Tatung University,18.844,Taiwan,World League
Pacific National University,18.746,Russia,World League
Islamic University in Najaf,18.556,Iraq,World League
Interdisciplinary Center Herzliya (IDC Herzliya),18.473,Israel,World League
Maritime University Szczecin,18.443,Poland,World League
Tra Vinh University,18.372,Vietnam,World League
Mari State University,18.347,Russia,World League
Al-Furat Al-Awsat Technical  University,18.118,Iraq,World League
Togliatti State University,18.053,Russia,World League
EA Buketov Karaganda State University,17.835,Kazakhstan,World League
Can Tho University,17.649,Vietnam,World League
Vyatka State University,17.298,Russia,World League
National Formosa University,17.170,Taiwan,World League
Al-Muthanna University,17.121,Iraq,World League
Northern Technical University,16.739,Iraq,World League
Belgorod State Technological University,16.548,Russia,World League
Al-Karkh University of Science,16.289,Iraq,World League
Platov South-Russian State Polytechnic University,15.567,Russia,World League
Jabir Ibn Hayyan Medical University,15.361,Iraq,World League
Behalf of Basrah University College of Science and Technology,15.229,Iraq,World League
University of Kirkuk,15.102,Iraq,World League
Arab American University (AAUP),14.688,State of Palestine,World League
Savannah College of Art and Design,14.424,USA,World League
University of Samarra,14.232,Iraq,World League
Kozma Minin Nizhny Novgorod State Pedagogical University,13.941,Russia,World League
Southern Technical University,12.485,Iraq,World League
University of the Thai Chamber of Commerce,12.468,Thailand,World League
Baghdad College Of Economic Sciences University,12.227,Iraq,World League
Rostov State University of Economics,11.781,Russia,World League
Dijlah University College,9.716,Iraq,World League
University of Warith Alanbiyaa,9.706,Iraq,World League
Al-Safwa University College,9.174,Iraq,World League
Madenat Al-elem University College,9.174,Iraq,World League
Altoosi University College,8.683,Iraq,World League
Al-Ayen University,8.589,Iraq,World League
National University for Science and Technology,8.340,Iraq,World League
Imam Ja`afar Al-Sadiq University,8.331,Iraq,World League
Al-Amarah University College,8.288,Iraq,World League
University of Alkafeel,8.063,Iraq,World League
Murmansk Arctic State University,7.888,Russia,World League
Al-Zahrawi University College,7.775,Iraq,World League
University of Al-Hamdaniya,7.775,Iraq,World League
University of Sumer,7.132,Iraq,World League
Al-Manara College of Medical Sciences,6.749,Iraq,World League
Karaganda University of Kaspotrebsoyuz,6.506,Kazakhstan,World League
Bilad Alrafidain University College,5.760,Iraq,World League
Al-Farahidi University,4.834,Iraq,World League
Al-Kut University College,4.721,Iraq,World League
Al-Esraa University College,5.530,Iraq,World League
Al-Rasheed University College,4.568,Iraq,World League
Imam Al-Kadhum College,2.933,Iraq,World League
